date,asin,category
20-12-23,B08NYNJ6RC,rtx3060ti
20-12-24,B08NYNJ6RC,rtx3060ti
20-12-30,B08NYP7KG6,rtx3060ti
21-01-05,B08NYNJ6RC,rtx3060ti
21-01-11,B083Z5P6TX,rtx3060ti
21-01-31,B08P2D3JSG,rtx3060ti
21-01-31,B08P3XJLJJ,rtx3060ti
21-02-03,B08P2H5LW2,rtx3060ti
21-02-03,B08P2H5LW2,rtx3060ti
21-02-03,B08P2H5LW2,rtx3060ti
21-02-03,B08P2H5LW2,rtx3060ti
21-02-03,B08P2H5LW2,rtx3060ti
21-02-09,B08P2H5LW2,rtx3060ti
21-02-21,B08P2H5LW2,rtx3060ti
21-02-24,B083Z5P6TX,rtx3060ti
21-02-24,B083Z5P6TX,rtx3060ti
21-02-24,B08P3V572B,rtx3060ti
21-02-24,B08P3V572B,rtx3060ti
21-02-25,B08QZ5GJ52,rtx3060ti
21-02-25,B08NW5HNYW,rtx3060ti
21-02-27,B083Z5P6TX,rtx3060ti
21-02-27,B083Z5P6TX,rtx3060ti
21-03-01,B08P2DQ28S,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-02,B083Z5P6TX,rtx3060ti
21-03-04,B08NYPLXPJ,rtx3060ti
21-03-04,B08NYPLXPJ,rtx3060ti
21-03-07,B08NW5HNYW,rtx3060ti
21-03-12,B083Z5P6TX,rtx3060ti
21-03-12,B083Z5P6TX,rtx3060ti
21-03-24,B083Z5P6TX,rtx3060ti
21-03-25,B083Z5P6TX,rtx3060ti
21-03-25,B083Z5P6TX,rtx3060ti
21-03-31,B083Z5P6TX,rtx3060ti
21-04-01,B083Z5P6TX,rtx3060ti
21-04-01,B083Z5P6TX,rtx3060ti
21-04-01,B083Z5P6TX,rtx3060ti
21-04-04,B08P2H5LW2,rtx3060ti
21-04-04,B08P2H5LW2,rtx3060ti
21-04-04,B08P2H5LW2,rtx3060ti
21-04-05,B083Z5P6TX,rtx3060ti
21-04-05,B083Z5P6TX,rtx3060ti
21-04-08,B08NW5HNYW,rtx3060ti
21-04-11,B083Z5P6TX,rtx3060ti
21-04-13,B08P2HBBLX,rtx3060ti
21-04-13,B08P2HBBLX,rtx3060ti
21-04-16,B083Z5P6TX,rtx3060ti
21-04-16,B083Z5P6TX,rtx3060ti
21-04-16,B083Z5P6TX,rtx3060ti
21-04-17,B083Z5P6TX,rtx3060ti
21-04-17,B083Z5P6TX,rtx3060ti
21-04-19,B08NYPLXPJ,rtx3060ti
21-04-19,B08NYPLXPJ,rtx3060ti
21-04-20,B08P2HBBLX,rtx3060ti
21-04-20,B08P2HBBLX,rtx3060ti
21-04-20,B083Z5P6TX,rtx3060ti
21-04-22,B083Z5P6TX,rtx3060ti
21-04-24,B08P2DQ28S,rtx3060ti
21-04-24,B08P2DQ28S,rtx3060ti
21-05-10,B08NW5HNYW,rtx3060ti
21-05-10,B08NW5HNYW,rtx3060ti
21-05-10,B08NW5HNYW,rtx3060ti
21-05-10,B08NW693LG,rtx3060ti
21-05-10,B08NW693LG,rtx3060ti
21-05-10,B08NW5HNYW,rtx3060ti
21-05-18,B08NW5HNYW,rtx3060ti
21-05-23,B08P2H5LW2,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-23,B08P2D3JSG,rtx3060ti
21-05-24,B08P2H5LW2,rtx3060ti
21-05-25,B083Z7TR8Z,rtx3060ti
21-05-26,B083Z7TR8Z,rtx3060ti
21-06-02,B08NW5HNYW,rtx3060ti
21-06-02,B08NW5HNYW,rtx3060ti
21-06-02,B08NW5HNYW,rtx3060ti
21-06-10,B08NW5HNYW,rtx3060ti
21-06-12,B083Z7TR8Z,rtx3060ti
21-06-15,B083Z5P6TX,rtx3060ti
21-06-20,B08P2D3JSG,rtx3060ti
21-06-24,B083Z7TR8Z,rtx3060ti
21-06-24,B083Z7TR8Z,rtx3060ti
21-06-26,B083Z7TR8Z,rtx3060ti
21-06-28,B08P2D3JSG,rtx3060ti
21-06-29,B08P2H5LW2,rtx3060ti
21-06-30,B08P2D3JSG,rtx3060ti
21-06-30,B083Z7TR8Z,rtx3060ti
21-07-01,B08P2H5LW2,rtx3060ti
21-07-02,B08P2D3JSG,rtx3060ti
