date,asin,category
20-12-03,B08KXZV626,rtx3070
20-12-04,B08LF1CWT2,rtx3070
20-12-13,B08L8HPKR6,rtx3070
20-12-20,B08KWLMZV4,rtx3070
21-01-08,B08HBF5L3K,rtx3070
21-01-26,B08LW46GH2,rtx3070
21-01-29,B08L8LG4M3,rtx3070
21-01-29,B08HBF5L3K,rtx3070
21-02-01,B08L8L71SM,rtx3070
21-02-01,B08L8JNTXQ,rtx3070
21-02-03,B08L8KC1J7,rtx3070
21-02-03,B08L8L9TCZ,rtx3070
21-02-03,B08L8L71SM,rtx3070
21-02-03,B08L8L71SM,rtx3070
21-02-03,B08L8LG4M3,rtx3070
21-02-03,B08L8L71SM,rtx3070
21-02-03,B08L8KC1J7,rtx3070
21-02-03,B08L8KC1J7,rtx3070
21-02-03,B08L8JNTXQ,rtx3070
21-02-04,B08L8L71SM,rtx3070
21-02-04,B08L8L71SM,rtx3070
21-02-04,B08HBJB7YD,rtx3070
21-02-04,B08HBF5L3K,rtx3070
21-02-04,B08L8LG4M3,rtx3070
21-02-04,B08L8L71SM,rtx3070
21-02-04,B08HBF5L3K,rtx3070
21-02-04,B08L8KC1J7,rtx3070
21-02-04,B08L8KC1J7,rtx3070
21-02-04,B08L8L9TCZ,rtx3070
21-02-04,B08L8L71SM,rtx3070
21-02-04,B08L8L71SM,rtx3070
21-02-05,B08L8L9TCZ,rtx3070
21-02-05,B08LW46GH2,rtx3070
21-02-05,B08LW46GH2,rtx3070
21-02-05,B08L8L9TCZ,rtx3070
21-02-06,B08LF1CWT2,rtx3070
21-02-06,B08LF1CWT2,rtx3070
21-02-06,B08L8KC1J7,rtx3070
21-02-06,B08M13DXSZ,rtx3070
21-02-06,B08LW46GH2,rtx3070
21-02-06,B08L8L9TCZ,rtx3070
21-02-07,B08HBJB7YD,rtx3070
21-02-07,B08HBJB7YD,rtx3070
21-02-08,B08LF1CWT2,rtx3070
21-02-08,B08L8L9TCZ,rtx3070
21-02-09,B08LF1CWT2,rtx3070
21-02-09,B08L8L9TCZ,rtx3070
21-02-09,B08LW46GH2,rtx3070
21-02-09,B08LW46GH2,rtx3070
21-02-10,B08L8JNTXQ,rtx3070
21-02-11,B08LF1CWT2,rtx3070
21-02-11,B08R81G1B6,rtx3070
21-02-11,B08R81G1B6,rtx3070
21-02-14,B08L8L71SM,rtx3070
21-02-15,B08KWLMZV4,rtx3070
21-02-15,B08KWLMZV4,rtx3070
21-02-15,B08KWLMZV4,rtx3070
21-02-15,B08MT6B58K,rtx3070
21-02-15,B08MT6B58K,rtx3070
21-02-15,B08MT6B58K,rtx3070
21-02-16,B08LW46GH2,rtx3070
21-02-16,B08L8L9TCZ,rtx3070
21-02-16,B08LW46GH2,rtx3070
21-02-16,B08L8L9TCZ,rtx3070
21-02-16,B08L8L9TCZ,rtx3070
21-02-23,B08L8JNTXQ,rtx3070
21-02-24,B08L8JNTXQ,rtx3070
21-02-25,B08L8JNTXQ,rtx3070
21-02-25,B08L8JNTXQ,rtx3070
21-02-25,B08L8JNTXQ,rtx3070
21-02-25,B08L8JNTXQ,rtx3070
21-02-25,B08R15HVJ3,rtx3070
21-02-26,B08L8JNTXQ,rtx3070
21-02-26,B08L8JNTXQ,rtx3070
21-02-26,B08L8JNTXQ,rtx3070
21-02-26,B08L8JNTXQ,rtx3070
21-02-26,B08L8JNTXQ,rtx3070
21-02-26,B08L8JNTXQ,rtx3070
21-02-26,B08L8JNTXQ,rtx3070
21-02-26,B08L8JNTXQ,rtx3070
21-02-26,B08L8JNTXQ,rtx3070
21-02-26,B08L8JNTXQ,rtx3070
21-02-26,B08L8JNTXQ,rtx3070
21-02-27,B08L8JNTXQ,rtx3070
21-02-27,B08L8JNTXQ,rtx3070
21-02-27,B08L8JNTXQ,rtx3070
